X_PS,Y_PS,Surface,Bouguer_HP,Magnetics_merged,Magnetics_10km_LP30,Lon,Lat
-107650.494382689,1712621.5019696,2888.404296875,21.1074663312571,9.83059883117676,-1.04255449771881,-3.59671707762847,-74.3014895741577
-97864.0858024432,1712621.5019696,2875.86401367188,29.5116114209167,10.6496753692627,19.0038166046143,-3.27048792318357,-74.3067874614408
-88077.6772221992,1712621.5019696,2870.07763671875,34.5427449965111,33.6806666056314,59.2048263549805,-2.94404634998762,-74.3115824042702
-78291.2686419553,1712621.5019696,2855.763671875,33.4137832967199,51.9301605224609,44.0262794494629,-2.61741336326443,-74.3158739189689
-68504.8600617111,1712621.5019696,2839.70190429688,35.523726625886,20.1965649922689,15.3338317871094,-2.29061004263853,-74.3196615721457
-58718.451481467,1712621.5019696,2810.74731445313,38.0786851611695,36.1820933024087,30.1605434417725,-1.96365753405196,-74.3229449809032
-48932.0429012212,1712621.5019696,2797.55346679688,35.0537224258908,45.6992721557617,25.2342834472656,-1.63657704161672,-74.3257238130223
-39145.6343209772,1712621.5019696,2780.90258789063,36.0642943941307,-10.86994043986,-8.04275417327881,-1.30938981941056,-74.3279977871223
-29359.2257407327,1712621.5019696,2755.25219726563,40.8235961257699,-11.7426570256551,0.380243122577667,-0.982117163224188,-74.3297666727967
-19572.8171604882,1712621.5019696,2738.59521484375,45.8106063652288,-1.65793478488922,21.5755233764648,-0.6547804022677,-74.3310302907249
-9786.40858024439,1712621.5019696,2734.0322265625,50.0424523841097,-5.13172260920213,11.1050901412964,-0.327400890844388,-74.3317885127585
0,1712621.5019696,2729.27099609375,51.1848250005313,44.4202957153321,13.5841627120972,0,-74.3320412619837
9786.40858024437,1712621.5019696,2731.11889648438,51.8111617594572,4.74194383621216,29.3714942932129,0.327400890844388,-74.3317885127585
19572.8171604887,1712621.5019696,2715.60083007813,48.5103588933931,19.2311801910402,24.7563743591309,0.6547804022677,-74.3310302907249
29359.2257407331,1712621.5019696,2714.775390625,36.2390363787096,49.7830530802407,52.5510330200195,0.982117163224188,-74.3297666727967
39145.6343209775,1712621.5019696,2721.18725585938,25.8990552470029,129.551712036133,138.409896850586,1.30938981941056,-74.3279977871223
