X_PS,Y_PS,BED_filt,moho_calc_250,Lon,Lat
751596.17896275,1241895.24925982,1232.994140625,-40298.36896,31.1823657989135,-76.6974486159518
761382.587542995,1241895.24925982,1257.94885253906,-40451.11264,31.5116773445503,-76.6511976476258
771168.99612324,1241895.24925982,1249.06164550781,-40568.976,31.8386843483272,-76.604516819314
-687005.882333137,1251681.65784006,194.706634521484,-33300.1872,-28.7608995268337,-76.9136738224851
-677219.473752893,1251681.65784006,285.242340087891,-33403.0472,-28.415501945748,-76.9562381058689
-667433.065172649,1251681.65784006,312.332733154297,-33494.81152,-28.0678364931447,-76.9983326336553
-657646.656592404,1251681.65784006,274.242340087891,-33574.17968,-27.7179066131822,-77.0399526308488
-647860.248012161,1251681.65784006,213.824249267578,-33643.588,-27.3657164707122,-77.081093315691
-638073.839431917,1251681.65784006,186.119110107422,-33703.96016,-27.0112709677411,-77.1217499013256
-628287.430851671,1251681.65784006,215.085968017578,-33756.69248,-26.6545757597119,-77.1619175975144
-618501.022271428,1251681.65784006,274.969085693359,-33803.13648,-26.2956372715762,-77.2015916124076
-608714.613691183,1251681.65784006,312.295318603516,-33843.4448,-25.9344627136238,-77.2407671543656
-598928.205110939,1251681.65784006,291.111358642578,-33877.4648,-25.5710600970383,-77.2794394338334
-589141.796530695,1251681.65784005,224.296188354492,-33905.09696,-25.2054382491427,-77.3176036652665
-579355.38795045,1251681.65784005,164.44743347168,-33925.58496,-24.8376068283028,-77.3552550691088
-569568.979370205,1251681.65784005,160.745834350586,-33938.36512,-24.4675763384511,-77.3923888738199
-559782.570789961,1251681.65784005,216.45280456543,-33941.74896,-24.0953581431962,-77.4290003179537
-549996.162209718,1251681.65784005,281.863372802734,-33935.0248,-23.7209644794806,-77.4650846522846
-540209.753629473,1251681.65784005,289.260345458984,-33917.37696,-23.3444084707494,-77.5006371419831
-530423.34504923,1251681.65784005,202.871200561523,-33888.08064,-22.9657041395916,-77.5356530688372
-520636.936468987,1251681.65784006,45.4167366027832,-33846.71264,-22.5848664198165,-77.57012773352
-510850.52788874,1251681.65784005,-117.679275512695,-33794.41248,-22.2019111679262,-77.604056457902
-501064.119308497,1251681.65784005,-221.848373413086,-33731.57648,-21.8168551739445,-77.6374345874049
-491277.710728253,1251681.65784005,-240.428756713867,-33659.44832,-21.4297161715649,-77.6702574933982
-481491.302148009,1251681.65784005,-190.081024169922,-33580.49216,-21.0405128475762,-77.7025205756341
-471704.893567764,1251681.65784005,-107.555168151855,-33497.64016,-20.6492648505296,-77.7342192647201
-461918.48498752,1251681.65784005,-22.6602230072021,-33413.74816,-20.2559927986055,-77.7653490246272
-452132.076407277,1251681.65784005,50.0676231384277,-33332.45616,-19.8607182866445,-77.795905355231
-442345.667827031,1251681.65784005,100.397277832031,-33258.12416,-19.463463892302,-77.8258837948843
-432559.259246788,1251681.65784005,110.971710205078,-33194.14,-19.0642531812911,-77.8552799230176
-422772.850666543,1251681.65784005,62.7760009765625,-33144.76432,-18.6631107116763,-77.8840893627652
-412986.442086299,1251681.65784005,-45.2661437988281,-33113.80816,-18.2600620371819,-77.9123077836154
-403200.033506056,1251681.65784005,-183.552947998047,-33104.14048,-17.8551337094813,-77.9399309040798
-393413.624925811,1251681.65784005,-304.045867919922,-33118.50448,-17.4483532794333,-77.9669544943805
-383627.216345567,1251681.65784005,-372.736572265625,-33158.50848,-17.0397492972334,-77.9933743791509
-373840.807765324,1251681.65784005,-395.910797119141,-33225.3768,-16.6293513114488,-78.0191864401478
-364054.399185079,1251681.65784005,-415.208862304688,-33318.6368,-16.2171898669091,-78.0443866189707
-354267.990604835,1251681.65784005,-472.320617675781,-33437.2568,-15.8032965014246,-78.0689709197848
-344481.582024591,1251681.65784005,-572.234802246094,-33578.5968,-15.3877037413078,-78.092935412045
-334695.173444346,1251681.65784005,-677.923583984375,-33739.16112,-14.9704450956738,-78.1162762332154
-324908.764864103,1251681.65784005,-743.210754394531,-33915.26496,-14.5515550494994,-78.1389895914834
-315122.356283858,1251681.65784005,-755.958557128906,-34100.9808,-14.1310690554225,-78.1610717684608
-305335.947703614,1251681.65784005,-751.803344726563,-34290.9208,-13.7090235242651,-78.1825191218716
-295549.53912337,1251681.65784005,-782.251647949219,-34479.00864,-13.2854558142671,-78.2033280882194
-285763.130543126,1251681.65784005,-861.402404785156,-34658.74848,-12.8604042190193,-78.2234951854328
-275976.721962882,1251681.65784005,-937.748901367188,-34823.42032,-12.4339079540898,-78.2430170154827
-266190.313382638,1251681.65784005,-920.268432617188,-34967.812,-12.0060071423371,-78.2618902669685
