ID,Probennehmer,Expedition,Year,Lat,Lon,Locality,Rock_description,Rock_name,Rock_suite,Rock_type,Susceptibility_average,Density
DML 1101 D,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.725,7.043,Gneis-Nunatak E Jaren,Pegmatit,Pegmatite,Other,Other,1.9374,2.542663657
DML 1401 B,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.921,7.746,Kampekalven,Pegmatit,Pegmatite,Other,Other,0.3496,2.587755102
82,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.48333,-3.78528,Svartbandufsa,Pyllonit aus Scherzone,Pyllonite,Other,Other,0.291,2.926
136,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.95139,-5.70139,Klakknabben,Quarzitschiefer,Quartz Schist,Other,Other,0.49,2.919
151,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-74.05083,-6.36667,Polaris Ridge Ost,Quarzitischer Schiefer,Quartz Schist,Other,Other,0.025,2.581
98,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.38333,-3.61667,W´ Ende Tverregga,kristalliner Schiefer,Schist,Other,Other,0.131,2.688
130,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.9,-5.91667,Drabanten,Muskovit-Glimmerschiefer (Metaflysch),Schist,Other,Other,0.055,2.693
4360,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,Ultramylonit mit ungeregelten Fsp-Klasten,Ultramylonite,Other,Other,0.892,2.803
4361,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,Ultramylonit mit ungeregelten Fsp-Klasten,Ultramylonite,Other,Other,0.571,
100,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.38333,-3.61667,W´ Ende Tverregga,Tonschiefer,,Other,Other,0.263,2.771
128,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.9,-5.91667,Drabanten,Basementschuppe im Metaflysch,,Other,Other,0.139,2.694
133,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.95139,-5.70139,Klakknabben,"""Kontaktbereich"" Quarzitschiefer/Basementschuppe",,Other,Other,0.102,2.684
135,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.95139,-5.70139,Klakknabben,Basementschuppe,,Other,Other,0.006,2.694
4183,Jacobs,GeoMaud,1995/96,-71.833,9.7,E-Conrad Ridge,3 Stücke aus der Moräne; grüne Säume um ultramafische Gesteine: U-Minralisation?,,Other,Other,0.265,
4212,Jacobs,GeoMaud,1995/96,-71.833,9.7,Conrad Gipfel,Ft-Probe von Wilfried von Sandhökalvane; H: 1830 m,,Other,Other,0.3667,
4216,Jacobs,GeoMaud,1995/96,-71.75,10.33333,NE-Dallmannberge,Mobilisat schneidet Foliation,,Other,Other,18,
4241,Jacobs,GeoMaud,1995/96,-72.002,8.858,S-Holtedahl,"Ft-Probe, H: 1760 m",,Other,Other,2.655,
4257,Jacobs,GeoMaud,1995/96,-72.083,2.83333,Reconnaissanceflug nach Gjelsvikfjella,"Steinsteinen, nicht charnockitisierter Syenit, relativ kleinkörnig",,Other,Other,30.272,2.717
4284,Jacobs,GeoMaud,1995/96,-71.97,9.696,S-Conrad,"Ft-Probe S-Conrad, H: 2400 m",,Other,Other,0.1667,
4736,Jacobs,Heimefrontfjella,1994,-74.3,-9.73333,Burasbotnen SE-Face,sulfidic cotecul (Thomas VOLEX),,Other,Other,0.342,2.842
4787,Jacobs,Heimefrontfjella,2000/01,-74.323,-9.56667,"Laudalkammen, bottom","Weber Fm., Geochron., check volcanic or not, Suzi-Nr. 310=0,03",,Other,Other,0.028,2.661
